V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
15.15,,4.5,2016,2016,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
24896.0,,15.0,2016,2016,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
12.51,,6.6,2016,2016,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
28174.0,,5.1,2016,2016,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
30673.0,,6.1,2016,2016,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
29204.0,,7.3,2016,2016,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
24087.0,,8.6,2016,2016,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
13.65,,4.1,2016,2016,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
32157.0,,5.7,2016,2016,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.37,,3.3,2016,2016,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
14.29,,5.1,2016,2016,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
13.14,,4.1,2016,2016,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
29549.0,,5.6,2017,2017,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.66,,4.3,2017,2017,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
24579.0,,5.5,2017,2017,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
24083.0,,7.8,2017,2017,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.79,,3.2,2017,2017,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.25,,4.0,2017,2017,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
13.21,,6.1,2017,2017,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
32717.0,,8.7,2017,2017,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
27626.0,,5.0,2017,2017,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
30165.0,,6.1,2017,2017,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
14.62,,4.9,2017,2017,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
14.1,,3.8,2017,2017,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
34047.0,,8.4,2018,2018,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
24918.0,,15.0,2018,2018,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
30294.0,,8.0,2018,2018,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.2,,5.2,2018,2018,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
15.63,,3.6,2018,2018,E08000013,St. Helens,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.52,,4.7,2018,2018,E08000013,St. Helens,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
22653.0,,14.0,2018,2018,E08000013,St. Helens,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
