V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
18.17,,3.5,2016,2016,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.17,,4.1,2016,2016,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
17.08,,5.5,2016,2016,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
37271.0,,6.9,2016,2016,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
32396.0,,5.0,2016,2016,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
39203.0,,7.4,2016,2016,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
18.67,,2.7,2016,2016,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
41809.0,,14.0,2016,2016,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
36565.0,,4.9,2016,2016,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
17.31,,4.0,2016,2016,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
34588.0,,4.3,2016,2016,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
17.19,,3.4,2016,2016,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
43163.0,,6.6,2017,2017,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
19.59,,2.9,2017,2017,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
39986.0,,4.3,2017,2017,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
35454.0,,5.0,2017,2017,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
18.19,,3.6,2017,2017,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
36641.0,,5.0,2017,2017,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
16.74,,7.6,2017,2017,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.29,,4.3,2017,2017,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
20.83,,4.3,2017,2017,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
31106.0,,8.7,2017,2017,E09000023,Lewisham,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
16.52,,4.4,2017,2017,E09000023,Lewisham,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
40454.0,,6.2,2017,2017,E09000023,Lewisham,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
