V4_2,Data_Marking,CV,calendar-years,time,admin-geography,geography,ashe-statistics,statistics,ashe-sex,sex,ashe-working-pattern,workingpattern,ashe-hours-and-earnings,hoursandearnings,ashe-workplace-or-residence,workplaceorresidence
41046.0,,8.9,2016,2016,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
47268.0,,12.0,2016,2016,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
20.86,,6.2,2016,2016,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.04,,4.4,2016,2016,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
16.68,,5.7,2016,2016,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.35,,4.1,2016,2016,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
32273.0,,6.7,2016,2016,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.47,,4.3,2016,2016,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
27842.0,,11.0,2016,2016,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
34710.0,,9.7,2016,2016,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
38752.0,,12.0,2016,2016,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.91,,4.1,2016,2016,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
16.92,,4.1,2017,2017,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
19.36,,4.5,2017,2017,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
46683.0,,14.0,2017,2017,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
20.89,,6.5,2017,2017,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
33501.0,,4.3,2017,2017,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
31835.0,,5.1,2017,2017,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
15.4,,3.2,2017,2017,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
40421.0,,9.7,2017,2017,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
14.93,,4.3,2017,2017,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
35940.0,,5.4,2017,2017,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
15.67,,4.3,2017,2017,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,workplace,Workplace
29808.0,,7.1,2017,2017,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
31295.0,,5.7,2018,2018,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
50473.0,,14.0,2018,2018,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
43138.0,,10.0,2018,2018,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,residence,Residence
16.66,,4.7,2018,2018,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
23.41,,6.6,2018,2018,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
20.85,,4.9,2018,2018,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,hourly-pay-gross,Hourly pay - Gross,residence,Residence
31988.0,,12.0,2018,2018,E08000009,Trafford,mean,Mean,female,Female,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
39756.0,,19.0,2018,2018,E08000009,Trafford,mean,Mean,male,Male,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
36589.0,,13.0,2018,2018,E08000009,Trafford,mean,Mean,all,All,full-time,Full-Time,annual-pay-gross,Annual pay - Gross,workplace,Workplace
